,ID,BrojKonkurisanja,BrojPregledaOglasa,NacinKonkurisanja,PrimarnaKategorija,StandardizovanaPozicija,Drzava,ImaInostranstvoGrad,Regioni,ImaInostranstvoRegion,Godina,Mesec_proba,Grad,Nadkategorija
112,107349,29,3991,NE,"transport, magacin",vozač,0,ne,Inostranstvo,da,2014,6,0,Trgovina i usluge
113,107376,43,1544,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2014,6,0,Zdravstvo i farmacija
114,107377,5,461,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,6,0,Trgovina i usluge
115,107378,7,565,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,6,0,Trgovina i usluge
116,107379,28,1083,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2014,6,0,"Obrazovanje, umetnost i sport"
117,107380,15,1363,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,6,0,Zdravstvo i farmacija
118,107588,46,3512,NE,ugostiteljstvo,recepcioner,0,da,,ne,2014,8,Inostranstvo,Turizam i ugostiteljstvo
119,107590,111,2352,NE,ugostiteljstvo,konobar,0,da,,ne,2014,8,Inostranstvo,Turizam i ugostiteljstvo
120,108757,40,1451,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2014,6,0,Zdravstvo i farmacija
121,108758,11,553,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,6,0,Trgovina i usluge
122,108759,7,3471,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,6,0,Trgovina i usluge
123,108761,27,1233,NE,"briga o lepoti, sport",fizioterapeut,0,ne,Inostranstvo,da,2014,6,0,Zdravstvo i farmacija
124,108762,20,1079,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,6,0,Zdravstvo i farmacija
125,108919,36,4817,NE,"transport, magacin",vozač,0,da,,ne,2014,9,0,Trgovina i usluge
126,108955,88,2553,NE,elektrotehnika,elektroinženjer,0,ne,Inostranstvo,da,2014,10,Inostranstvo,Tehničke nauke
127,108957,19,1568,NE,elektrotehnika,elektroinženjer,0,ne,Inostranstvo,da,2014,10,Inostranstvo,Tehničke nauke
128,108959,30,1333,NE,IT,System Administrator / Engineer,0,ne,Inostranstvo,da,2014,10,Inostranstvo,Informacione tehnologije
129,109234,44,1626,NE,elektrotehnika,elektroinženjer,0,ne,Inostranstvo,da,2014,9,Inostranstvo,Tehničke nauke
130,109504,46,3005,NE,ugostiteljstvo,recepcioner,0,da,,ne,2014,9,Inostranstvo,Turizam i ugostiteljstvo
131,109505,118,2864,NE,ugostiteljstvo,konobar,0,da,,ne,2014,9,Inostranstvo,Turizam i ugostiteljstvo
132,109895,411,24247,NE,"marketing, PR",promoter,0,ne,"Srbija,Inostranstvo",da,2014,2,0,Ekonomija
134,110109,36,1684,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2014,7,0,Zdravstvo i farmacija
135,110110,11,741,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,7,0,Trgovina i usluge
136,110111,8,793,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,7,0,Trgovina i usluge
137,110112,26,1628,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2014,7,0,"Obrazovanje, umetnost i sport"
138,110113,18,1307,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,7,0,Zdravstvo i farmacija
139,110208,132,14727,NE,elektrotehnika,System Administrator / Engineer,0,ne,"Srbija,Inostranstvo",da,2014,7,Ceo svet,Informacione tehnologije
140,110368,3,1104,NE,"obrazovanje, briga o deci",nastavnik,0,ne,Inostranstvo,da,2014,10,0,"Obrazovanje, umetnost i sport"
141,110426,20,2575,NE,"saobraćaj, logistika",Menadžer projekata,0,ne,Inostranstvo,da,2014,10,Inostranstvo,Ekonomija
142,110428,36,3637,NE,"transport, magacin",vozač,0,da,,ne,2014,10,0,Trgovina i usluge
143,110697,47,5576,NE,"trgovina, prodaja",komercijalista,0,ne,"Srbija,Inostranstvo",da,2014,10,0,Trgovina i usluge
147,111672,51,1574,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2014,7,0,Zdravstvo i farmacija
148,111673,7,580,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,7,0,Trgovina i usluge
149,111674,7,636,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,7,0,Trgovina i usluge
150,111675,29,1186,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2014,7,0,"Obrazovanje, umetnost i sport"
151,111676,17,1066,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,7,0,Zdravstvo i farmacija
157,111744,1,1650,NE,IT,Software Developer / Programmer / Engineer,0,ne,Inostranstvo,da,2014,7,Inostranstvo,Informacione tehnologije
158,112287,152,3511,NE,elektrotehnika,Elektrotehničar,0,ne,Inostranstvo,da,2014,11,Inostranstvo,Tehničke nauke
159,112289,43,1651,NE,telekomunikacije,Inženjer telekomunikacija,0,ne,Inostranstvo,da,2014,11,Inostranstvo,Tehničke nauke
160,112621,25,3897,NE,"transport, magacin",vozač,0,ne,Inostranstvo,da,2014,11,0,Trgovina i usluge
161,112678,66,2245,N,elektrotehnika,serviser,0,ne,Inostranstvo,da,2014,1,Novom Sadu i inostranstvu,Tehničke nauke
162,112909,38,1519,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2014,8,0,Zdravstvo i farmacija
163,112910,6,411,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,8,0,Trgovina i usluge
164,112912,2,507,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,8,0,Trgovina i usluge
165,112913,25,1041,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2014,8,0,"Obrazovanje, umetnost i sport"
166,112914,13,1007,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,8,0,Zdravstvo i farmacija
167,112945,40,2000,NE,elektrotehnika,elektroinženjer,0,ne,Inostranstvo,da,2014,5,"Ĺ irom sveta, Bliski Istok",Tehničke nauke
168,113530,85,4041,NE,mašinstvo,mašinski tehničar,0,da,,ne,2014,12,0,Tehničke nauke
169,113767,60,2055,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2015,8,0,Zdravstvo i farmacija
170,113768,8,583,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2015,8,0,Trgovina i usluge
171,113769,8,707,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2015,8,0,Trgovina i usluge
172,113770,38,1362,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2015,8,0,"Obrazovanje, umetnost i sport"
173,113771,14,1298,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2015,8,0,Zdravstvo i farmacija
174,113988,107,1872,NE,ugostiteljstvo,ostale ugostiteljske pozicije,0,ne,Inostranstvo,da,2015,12,0,Turizam i ugostiteljstvo
175,114952,3,873,NE,telekomunikacije,inženjer telekomunikacija,0,ne,Inostranstvo,da,2015,1,srednji Istok,Tehničke nauke
176,115270,43,2433,NE,elektrotehnika,elektroinženjer,0,ne,Inostranstvo,da,2015,4,0,Tehničke nauke
177,115550,44,1593,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2015,8,0,Zdravstvo i farmacija
178,115551,6,451,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2015,8,0,Trgovina i usluge
179,115552,10,607,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2015,8,0,Trgovina i usluge
180,115554,25,1361,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2015,8,0,"Obrazovanje, umetnost i sport"
181,115555,19,1246,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2015,8,0,Zdravstvo i farmacija
185,115736,20,1154,NE,mašinstvo,mašinski inženjer,0,ne,Inostranstvo,da,2015,12,srednji Istok,Tehničke nauke
186,115737,39,1704,NE,mašinstvo,zavarivač / varilac,0,ne,Inostranstvo,da,2015,12,srednji Istok,Tehničke nauke
189,116877,64,2958,NE,mašinstvo,elektroinženjer,0,ne,Inostranstvo,da,2015,2,0,Tehničke nauke
190,116882,9,1448,NE,IT,.NET Developer,0,da,,ne,2015,2,0,Informacione tehnologije
191,117226,5,879,NE,"obrazovanje, briga o deci",učitelj,0,ne,Inostranstvo,da,2015,10,"Stabljika, njegov anus, a.","Obrazovanje, umetnost i sport"
192,117264,34,1426,NE,"briga o lepoti, sport",fizioterapeut,0,ne,Inostranstvo,da,2015,11,0,Zdravstvo i farmacija
193,117266,6,424,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2015,11,0,Trgovina i usluge
194,117268,8,1285,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2015,11,0,Trgovina i usluge
195,117269,15,971,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2015,11,0,"Obrazovanje, umetnost i sport"
196,117270,19,1092,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2015,11,0,Zdravstvo i farmacija
197,118351,297,13609,NE,"transport, magacin",vozač,0,ne,"Srbija,Inostranstvo",da,2015,3,0,Trgovina i usluge
198,118365,83,3106,NE,"osiguranje, lizing",Praktikant,0,ne,Inostranstvo,da,2015,3,0,Ekonomija
199,118393,16,1241,NE,IT,Software Developer / Programmer / Engineer,0,da,,ne,2015,1,0,Informacione tehnologije
200,118944,30,7007,NE,"briga o lepoti, sport",fizioterapeut,0,ne,Inostranstvo,da,2015,11,0,Zdravstvo i farmacija
201,118945,2,2765,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2015,11,0,Trgovina i usluge
202,118946,3,1205,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2015,11,0,Trgovina i usluge
203,118947,37,1370,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2015,11,0,"Obrazovanje, umetnost i sport"
204,118948,20,1794,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2015,11,0,Zdravstvo i farmacija
