ID;BrojKonkurisanja;BrojPregledaOglasa;PrimarnaKategorija;StandardizovanaPozicija;ImaInostranstvoGrad;Regioni;ImaInostranstvoRegion;Godina;BrojPrijavaSamoIno;DatumObjave;NacinKonkurisanja;Grad;Nadkategorija;Drzava
99922;29;1636;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;30.01.2014;NE;0;Zdravstvo i farmacija;0
100057;88;6676;građevina, geodezija;izvođač završnih građevinskih radova;da;;ne;2014;;03.02.2014;NE;Biti?;Tehničke nauke;0
100059;75;5435;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2014;;03.02.2014;NE;Biti?;Tehničke nauke;0
100142;83;1949;mašinstvo;šef gradilišta;da;;ne;2014;;04.02.2014;N;0;Tehničke nauke;0
100354;192;6124;elektrotehnika;elektroinženjer;ne;Srbija,Inostranstvo;da;2014;;10.02.2014;NE;Srbija, inostranstvo;Tehničke nauke;0
100360;295;9056;mašinstvo;mašinski inženjer;ne;Srbija,Inostranstvo;da;2014;;10.02.2014;NE;Srbija, inostranstvo;Tehničke nauke;0
100387;10;1678;rudarstvo, metalurgija;bravar;ne;Inostranstvo;da;2014;;10.02.2014;NE;ja sam viĹˇe;Tehničke nauke;0
101215;43;1647;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2014;;02.03.2014;NE;0;Zdravstvo i farmacija;0
101216;4;474;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;02.03.2014;NE;0;Trgovina i usluge;0
101217;3;563;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;02.03.2014;NE;0;Trgovina i usluge;0
101218;24;1217;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2014;;02.03.2014;NE;0;Obrazovanje, umetnost i sport;0
101219;31;1482;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;02.03.2014;NE;0;Zdravstvo i farmacija;0
101316;131;3179;mašinstvo;planer proizvodnje;ne;Inostranstvo;da;2014;;04.03.2014;NE;srednji Istok;Tehničke nauke;0
102072;113;1967;elektrotehnika;elektroinženjer;ne;Inostranstvo;da;2014;;20.03.2014;NE;Evropa, Severna Afrika i Bliski Istok;Tehničke nauke;0
102114;62;1364;ugostiteljstvo;higijeničar/ka;da;;ne;2014;;21.03.2014;NE;0;Trgovina i usluge;0
102117;24;774;ugostiteljstvo;kuvar;da;;ne;2014;;21.03.2014;NE;0;Turizam i ugostiteljstvo;0
102119;4;822;ugostiteljstvo;kuvar;da;;ne;2014;;21.03.2014;NE;0;Turizam i ugostiteljstvo;0
